Ticker_no_mapeado
LAMTIUA ID EQUITY
LAZCAPS FP EQUITY
LAZOCFI FP EQUITY
LF98TRUU INDEX
LG20TRUU INDEX
LGCPTRUH INDEX
LGGHYIA LX EQUITY
LLAHYBI LX EQUITY
LSMLAEI LX EQUITY
LUACTRUU INDEX
LULAEIU LX EQUITY
LVEEUUC CI EQUITY
M3CN INDEX
MACSMCI LX EQUITY
MAHYIHU ID EQUITY
MAIGOIU ID EQUITY
MBIDTANV CI EQUITY
MCHI US EQUITY
MERSEEI LX EQUITY
MGEGICE ID EQUITY
MGEIFCE ID EQUITY
MGLBI1U LX EQUITY
MGLOA1U LX EQUITY.1
MGSECIA LX EQUITY
MIGOEAE LX EQUITY.1
MIGSEUI LX EQUITY.1
MLATIN AMERICAD KY EQUITY
MLEUCCC LX EQUITY.1
MLGCBA2 LX EQUITY.1
MLLSCIU LX EQUITY
MLWORHD LX EQUITY
MNHYIUA ID EQUITY
MODECHD CI EQUITY
MONLAEI LX EQUITY
MORINCZ LX EQUITY
MRCLPAE CI EQUITY
MSAIOPZ LX EQUITY
MSEMCBZ LX EQUITY
MSEUSIA INDEX
MSGFINZ LX EQUITY
MSTEUCA LX EQUITY.1
MTUM US EQUITY
MXAPJ INDEX
MXASJ INDEX
MXEUG INDEX
MXFS LN EQUITY
MXJP INDEX
MXLA INDEX
NAJHCIU ID EQUITY
NBCIUIA ID EQUITY
NCAFLUA ID EQUITY
NCWNUSA ID EQUITY
NGDYGIU ID EQUITY
NIMEHYB LX EQUITY
NNUSRCU LX EQUITY
NOHBIUS LX EQUITY
NOINEIU ID EQUITY
OBJCGAU FP EQUITY
OEF US EQUITY
OTGLCFU LX EQUITY
PAGLBIC LX EQUITY
PAREMBI LX EQUITY
PASELCI LX EQUITY
PBISEAI ID EQUITY
PBIUIGY ID EQUITY
PECBDIU LX EQUITY
PFIFGEI LX EQUITY
PGIGCEA ID EQUITY
PIAHYIA ID EQUITY
PICASEI LX EQUITY
PIMCINA ID EQUITY
PIMGIAD ID EQUITY
PIMHYBA ID EQUITY
PIMINIA ID EQUITY
PIMSISA ID EQUITY
POLGTIU ID EQUITY
QQQM US EQUITY
QUAL US EQUITY
RCMEATU LX EQUITY.1
RCMEEGW LX EQUITY
REMCIHU LX EQUITY
RGCRIHU LX EQUITY
RGHYBID LX EQUITY
ROBFIIH LX EQUITY
ROCAEIU LX EQUITY
ROCHBIH LX EQUITY
ROECRBI LX EQUITY
ROQCAEI LX EQUITY
RSLEU3I LN EQUITY
RSP US EQUITY
SCAOIZU LX EQUITY
SCEEA1U LX EQUITY
SCGRCIZ LX EQUITY
SCHCHIZ LX EQUITY
SCHECAC LX EQUITY
SCHESSC LX EQUITY
SCHPFAA LX EQUITY.1
SCHPFCA LX EQUITY.1
SCIEAIZ LX EQUITY
SCISAIU LX EQUITY
SCISIZU LX EQUITY
SCSPECU LX EQUITY.1
SECR1NV CI EQUITY
SECRNOM CI EQUITY
SGCBIZU LX EQUITY
SGESOCA LN EQUITY
SHYG US EQUITY
SISEAAA LX EQUITY.1
SISFCIZ LX EQUITY
SIZE US EQUITY
SPMV LN EQUITY
SPSM US EQUITY
SPX INDEX
SPYD US EQUITY
SPYG US EQUITY
SPYV US EQUITY
STN FP EQUITY.1
STPX IM EQUITY.1
TDNASCA LN EQUITY
TEHYAIU LX EQUITY
TEMASIU LX EQUITY
TILVX US EQUITY
UBCOIA3 LX EQUITY
UBIGIA3 LX EQUITY
UBSCI56 LX EQUITY
UKX INDEX
UNNAMED: 0
USMV US EQUITY
VB US EQUITY
VBK US EQUITY
VDE US EQUITY
VEMBIPU ID EQUITY
VEMKBDI LX EQUITY
VERASCU ID EQUITY
VGT US EQUITY
VLUE US EQUITY
VO24HGH LX EQUITY
VOEMDGU LX EQUITY
VONEMCX LX EQUITY
VOO US EQUITY
VTI US EQUITY
VTV US EQUITY
VUG US EQUITY
WELASCA LX EQUITY
WIEMDIU LX EQUITY
WSEEAUH ID EQUITY
XAR US EQUITY
XD5E LN EQUITY
XDAX GY EQUITY
XLC US EQUITY
XLE US EQUITY
XLK US EQUITY
XLP US EQUITY
XLU US EQUITY
XLV US EQUITY
XLY US EQUITY
XMME GR EQUITY
XUCM LN EQUITY
XUIN LN EQUITY
XUTC LN EQUITY
ZEM CN EQUITY
