,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
38,ROQCAEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ROBECO QI CHINESE A SHARE ACTIVE EQUITIES,China
39,BGHY2BI LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,BLACKROCK GLOBAL FUNDS ASIAN HIGH YIELD BOND FUND,General
40,IRFIAAU LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,INVESCO ASI INV GRB FD-AAUSD,General
41,SCISIZU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SCHRODER INTERNATIONAL SELECTION FUND INDIAN EQUITY,India
42,MLGDUBA LX EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,LUMYNA -GLOBAL DEBT-GOVT UCITS FD LUMY GLB DBT GOVNM UCITS USD ACC B,General
43,UTIIDEI ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,UTI INDIA DYNAMIC EQUITY FUND,India
44,PIAHYEI ID EQUITY,RENTA FIJA,RENTA FIJA,Asia ex-Japan,PIMCO-ASIA HIGH YLD BD-E INC,General
45,ABCAI2A LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ABRDN SICAV I CHINA A SHARE SUSTAINABLE EQUITY FUND,China
46,ALLCWUI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ALLIANZ GLOBAL INVESTORS FUND ALLIANZ CHINA A SHARES,China
47,ASHR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,DBX ETF TRUST DB X TRACKERS HARVEST CSI 300 CHINA A SHARES FUND,China
48,BGGCCBA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BAILLIE GIFFORD OVERSEAS GROWTH FUNDS ICVC BAILLIE GIFFORD CHINA FUND,China
49,BLKCHC2 LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BGF CHINA FUND-C2 USD,China
50,CHAEPCU ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,GOLDMAN SACHS FUNDS II PLC GOLDMAN SACHS CHINA A SHARE EQUITY PORTFOLIO,China
51,FFCFIAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS CHINA FOCUS FUND,China
52,FIGCIAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,FIDELITY FUNDS GREATER CHINA FUND,China
53,FOREGCI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,BNP PARIBAS FUNDS CHINA EQUITY,China
54,FXI US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,ISHARES MSCI CHINA,China
55,GXC US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,SPDR INDEX SHARES FUNDS SPDR S&P CHINA ETF,China
56,IGCESAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,INVESCO FUNDS INVESCO GREATER CHINA EQUITY FUND,China
57,INGSACI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,NINETY ONE GLOBAL STRATEGY FUND ALL CHINA EQUITY FUND,China
58,JPCAIUA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Asia ex-Japan,JPMORGAN FUNDS CHINA A SHARE OPPORTUNITIES FUND,China
