,Ticker,Asset Class Sistema,Asset Class,Geography / Subclass,Indice,Market
178,BREMSIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,BRADESCO GLOBAL FUNDS BRAZILIAN EQUITIES MID SMALL CAPS,Brazil
179,CCHIACB CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,BTG PACTUAL CHILE ACCION B,Chile
180,CCLAMES LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,CREDICORP CAPITAL ASSET MANAGEMENT FUND CREDICORP CAPITAL LATIN AMERICAN EQUITY FUND,General
181,CELFFIB CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,BTG PACTUAL SMALL CAP CHILE FONDO DE INVERSION,Chile
182,CFIMPIO CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,MONEDA PIONERO FONDO DE INVERSION,Chile
183,CFIMSCL CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,MONEDA S/C LATINOAMERICA,General
184,CFIQAC CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,QUEST ACCIONES CHILE FONDO DE INVERSION SERIE A,Chile
185,DBRFC50 LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,DWS INVEST BRAZILIAN EQUITIES,Brazil
186,DFC5IDH LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,DWS INVEST LATIN AMERICAN EQUITIES,General
187,EASSCLI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ZCH AM SICAV SMALL CAP Latin America FUND,General
188,ECH US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ISHARES INC ISHARES MSCI CHILE ETF,Chile
189,EWW US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ISHARES INC MSCI MEXICO INVESTABLE MARKET INDEX FUND,Mexico
190,EWZ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ISHARES INC. ISHARES MSCI BRAZIL INDEX FUND,Brazil
191,EWZS US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ISHARES TRUST ISHARES MSCI BRAZIL SMALL CAP ETF,Brazil
192,FALCTNV CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,FALCOM FI TACTICAL CHILE EQUITY C,Chile
193,FFLAIAU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,FIDELITY FUNDS LATIN AMERICA FUND,General
194,ILF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,ISHARES S&P LATIN AMERICA 40 INDEX FUND,General
195,INLAEIA LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,NINETY ONE GLOBAL STRATEGY FUND LATIN AMERICAN EQUITY FUND,General
196,LSMLAEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,LARRAIN VIAL ASSET MANAGEMENT SICAV SMALL & MID CAP LATIN AMERICAN EQUITY FUND,General
197,LSMMEQI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,LARRAINVIAL ASSET MANAGEMENT SICAV LATIN AMERICAN EQUITY FUND,General
198,LULAEIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,BCI AM SICAV LATIN AMERICAN EQUITY FUND,General
199,MBIARANV CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,MBI ARBITRAGE FONDO DE INVERSION A,Chile
200,MLLSCIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,MONEDA LUXEMBOURG SICAV LATIN AMERICA SMALL CAP FUND,General
201,MONLAEI LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,MONEDA LUXEMBOURG SICAV LATIN AMERICA EQUITIES FUND,General
202,SCISAIU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,SCHRODER INTERNATIONAL SELECTION FUND LATIN AMERICAN,General
203,TCHIEQB CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,TOESCA CHILE EQUITY B,Chile
204,TOESCA CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,Latin America,TOESCA SMALL CAP CHILE-A,Chile
205,BCHDECH CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,FI DEUDA CHILENA,Chile
206,BRAFIXI LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,BRADESCO GLOBAL FUNDS BRAZILIAN FIXED INCOME,Brazil
207,CCLACDS LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CREDICORP CAPITAL ASSET MANAGEMENT FUND LATIN AMERICAN CORPORATE DEBT,General
208,CCLIGSU LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CREDICORP CAPITAL LATIN AMERICAN INVESTMENT GRADE FUND,IG
209,CFICOMDP CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,COMPASS DEUDA PLUS-A,Chile
210,CFIETFCC CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,FI ETF SINGULAR CHILE CORPOR,Chile
211,CFIIMDL CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA DEUDA LATINOAMERICANA FDO DE INVERSION,General
212,CFIMLDL CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA LATINOAMERICA DEUDA LOCAL FDO. DE INV.,LC
213,CSLLBUB LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CS LUX Latin America CRP BOND-UB USD,General
214,DCORPCH CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,BTG PACTUAL DEUDA CORP CHILE,Chile
215,FALCFIW CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,FALCOM CHILEAN FI-W NAV,Chile
216,FOLACCI LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,BCI AM SICAV LATIN AMERICAN CORPORATE CREDIT INVESTMENT GRADE,IG
217,IMTDECI CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CREDICORP CAP DEUD CORP IG-I,Chile
218,IMTSCLI CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,IMT SPREAD CORP LOCAL-I,Chile
219,LAACDZU LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,NINETY ONE GLOBAL STRATEGY FUND- LATIN AMERICAN CORPORATE DEBT FUND,General
220,LACCIUA LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,BCI AM SICAV LATIN AMERICAN CORPORATE CREDIT,General
221,LLAHYBI LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,LARRAINVIAL ASSET MANAGEMENT SICAV LATIN AMERICAN CORPORATE DEBT FUND,General
222,MBIRFANV CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MBI DEUDA PLUS FI-A,Chile
223,MLatin AmericaD KY EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA LATIN AMERICAN CORPORATE DEBT FUND,General
224,MODUECH CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA DEUDA CHILE FI-A,Chile
225,MRCLP CI EQUITY,RENTA FIJA,RENTA FIJA,Latin America,MONEDA RENTA CLP-A,Chile
226,PASELCI LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,PARETURN PINEBRIDGE LATIN AMERICA CORPORATE BOND FUND,General
227,CSLACAU LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,CS LUX Latin America CRP BOND-AUSD,General
228,INLACIA LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,NTYONGSF-LAT AM CD-I ACC USD,General
229,MOCCIIU LX EQUITY,RENTA FIJA,RENTA FIJA,Latin America,"MONEDA Latin America CORPORATE CREDIT FEEDER FI, I",General
230,EWU US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United Kingdom,ISHARES MSCI United Kingdom,General
231,AVUV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,AMERICAN CENTURY ETF TRUST AVANTIS U.S. SMALL CAP VALUE ETF,Small Cap
232,CSPX LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES CORE S&P 500 UCITS ETF,General
233,CSTNL US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES VII PLC ISHARES CORE S&P 500 UCITS ETF,General
234,DFFVX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,DFA INVESTMENT DIMENSIONS GROUP INC. U.S. TARGETED VALUE PORTFOLIO,General
235,DFSTX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,DFA INVESTMENT DIMENSIONS GROUP INC. U.S. SMALL CAP PORTFOLIO,Small Cap
236,DFSVX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,DFA INVESTMENT DIMENSIONS GROUP INC. U.S. SMALL CAP VALUE PORTFOLIO,Small Cap
237,DFUSX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,DIMENSIONAL INVESTMENT GROUP INC US LARGE COMPANY PORTFOLIO,General
238,DGRW US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,WISDOMTREE TRUST WISDOMTREE US QUALITY DIVIDEND GROWTH FUND,General
239,DIA US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR DJIA TRUST,General
240,EFIV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR SERIES TRUST SPDR SP 500 ESG ETF,General
241,ESGU US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES ESG AWARE MSCI United States ETF,General
242,ESML US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES ESG AWARE MSCI United States SMALL CAP ETF,Small Cap
243,IBB US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES NASDAQ BIOTECHNOLOGY ETF,Sector
244,IJR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES S&P SMALLCAP 600 INDEX FUND,Small Cap
245,IJS US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES S&P SMALL CAP 600 VALUE ETF,Small Cap
246,IJT US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES S&P SMALL CAP 600 GROWTH ETF,Small Cap
247,ITA US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES US AEROSPACE & DEFENSE ETF,Sector
248,IVV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES CORE S&P 500 ETF,General
249,IWM US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES RUSSEL 2000 INDEX FUND,Small Cap
250,IWN US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES RUSSELL 2000 VALUE ETF,Small Cap
251,IWS US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES RUSSELL MID CAP VALUE ETF,Small Cap
252,JREU LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JPMORGAN ETFS IRELAND ICAV US RESEARCH ENHANCED INDEX EQUITY ESG UCITS ETF,General
253,NCSGUIA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,NEWCAPITAL USSCG-USDIA,Small Cap
254,NELSEUI ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,NEUBERGER BERMAN INVESTMENT NB US L/S I3 ACC,General
255,OEF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,I SHARES S&P 100 INDEX FUND,General
256,PIMSISA ID EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC STOCKPLUS FUND,General
257,PPA US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO AEROSPACE & DEFENSE ETF,Sector
258,QQQ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO QQQ TRUST SERIES 1,General
259,QUAL US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES MSCI United States QUALITY FACTOR ETF,General
260,SDVY US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,FIRST TRUST SMID CAP RISING DIVIDEND ACHIEVERS ETF,Small Cap
261,SMH US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANECK SEMICONDUCTOR,Sector
262,SPLG US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR PORTFOLIO S&P 500 ETF,General
263,SPMV LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES S&P 500 MINIMUM VOLATILITY,General
264,SPSM US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR SERIES TRUST SPDR PORTFOLIO SP 600 SMALL CAP ETF,Small Cap
265,SPY US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR S&P 500 ETF TRUST,General
266,SPYD US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR PORTFOLIO S&P 500 HIGH DIVIDEND,General
267,TDNASCA LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,COLUMBIA THREADNEEDLE INVESTMENT FUNDS United Kingdom ICVC CT AMERICAN SMALLER COMPANIES,Small Cap
268,TILVX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,TIAA CREF FUNDS TIAA CREF LARGE CAP VALUE INDEX FUND,General
269,USMV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES MSCI United States MINIMUM VOLATILITY ETF,General
270,VB US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD SMALL CAP ETF,Small Cap
271,VBK US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD SMALL CAP GROWTH ETF,Small Cap
272,VBR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD SMALL-CAP VALUE ETF INC,Small Cap
273,VOO US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD S&P 500 ETF,General
274,VTV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD VALUE ETF,General
275,XLF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SELECT SECT SPDR F FINANCIAL,Sector
276,XLP US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE CONSUMER STAPLES SELECT SECTOR SPDR FUND,Sector
277,XLU US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE UTILITIES SELECT SECTOR SPDR FUND,Sector
278,XUCM LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI United States COMMUNICATION SERVICES,Sector
279,XUFN LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI US FINANCIALS ETF ETF,Sector
280,XUIN LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI United States INDUSTRIALS,Sector
281,XUTC LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI US INFO TECH ETF ETF,Sector
282,ABSDHS1 LX EQUITY,RENTA FIJA,RENTA FIJA,United States,ACMBERNSTEIN SICAV SHORT DURATION HIGH YIELD PORTFOLIO,HY
283,APUHI2U LX EQUITY,RENTA FIJA,RENTA FIJA,United States,AMUNDI FUNDS US HIGH YIELD BOND,HY
284,AUDHYBI LX EQUITY,RENTA FIJA,RENTA FIJA,United States,AXA WORLD FUNDS US DYNAMIC HIGH YIELD BONDS,HY
285,AXASDHY LX EQUITY,RENTA FIJA,RENTA FIJA,United States,AXA IM FIXED INCOME INVESTMENT STRATEGIES US SHORT DURATION HIGH YIELD FUND,HY
286,AXUHYIU LX EQUITY,RENTA FIJA,RENTA FIJA,United States,AXA WORLD FUNDS US HIGH YIELD BONDS,HY
287,AXUSHZA LX EQUITY,RENTA FIJA,RENTA FIJA,United States,AXA IM FIIS-US SH DU HY-Z,HY
288,BNUHULA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,BNY MELLON EFFICIENT U.S. HIGH YIELD BETA FUND,HY
289,FFUSIAC LX EQUITY,RENTA FIJA,RENTA FIJA,United States,FIDELITY FUNDS US HIGH YIELD FUND,HY
290,HYG US EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES IBOXX $ HIGH YIELD CORPORATE BOND FUND,HY
291,JPGHIAU LX EQUITY,RENTA FIJA,RENTA FIJA,United States,JPMORGAN INVESTMENT FUNDS GLOBAL HIGH YIELD BOND FUND,HY
292,LAHYUIA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,LORD ABBETT GLOBAL FUNDS I PLC - LORD ABBETT HIGH YIELD FUND,HY
293,MERCATI LX EQUITY,RENTA FIJA,RENTA FIJA,United States,BLACKROCK US DOLLAR HIGH YIELD,HY
294,MNHYIUA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,MAN NUMERIC US HIGH YIELD,HY
295,MUSHYCA LX EQUITY,RENTA FIJA,RENTA FIJA,United States,BGF-USD HIGH YIELD BOND,HY
296,NUSHYIU ID EQUITY,RENTA FIJA,RENTA FIJA,United States,NOMURA FUNDS IRELAND PLC US HIGH YIELD BOND FUND,HY
297,PIMHYBA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC US HIGH YIELD BOND FUND,HY
298,SHYG US EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES TRUST ISHARES 0 5 YEAR HIGH YIELD CORPORATE BOND ETF,HY
299,TEHYAIU LX EQUITY,RENTA FIJA,RENTA FIJA,United States,FRANKLIN TEMP INV F FRANKLIN HIGH YIELD,HY
300,CBUS5A SW EQUITY,RENTA FIJA,RENTA FIJA,United States,UBS LUX FUND SOLUTIONS - BLOOMBERG ETF,IG
301,DTLA LN EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES TREAS BD 20 YR UCITS ETF,IG
302,FRAFRAA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,FRANKLIN FLOATING RATE FUND PLC A,IG
303,GAMHCZU ID EQUITY,RENTA FIJA,RENTA FIJA,United States,GAM STAR FUND PLC GAM STAR MBS TOTAL RETURN,IG
304,ICVT US EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES TRUST ISHARES CONVERTIBLE BOND ETF,IG
305,INGUCIC LX EQUITY,RENTA FIJA,RENTA FIJA,United States,GOLDMAN SACHS FUNDS III GOLDMAN SACHS US DOLLAR CREDIT,IG
306,LASDUIA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,LORD ABBETT GLOBAL FUND I PLC,IG
307,LASDUZA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,LORD ABBETT SHORT DURATION INCOME FUND CLASS Z,IG
308,LAUSBAA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,LORD ABBETT ULTRA SHT BD A ACC,IG
309,LFUGUBA LX EQUITY,RENTA FIJA,RENTA FIJA,United States,LUMYNA AMERICAN DEBT GOVERNMENT UCITS FUND,IG
310,LLDYX US EQUITY,RENTA FIJA,RENTA FIJA,United States,LORD ABBETT SHRT DUR INC-I,IG
311,LQD US EQUITY,RENTA FIJA,RENTA FIJA,United States,ISHARES TRUST ISHARES IBOXX $ INVESTMENT GRADE CORPORATE BOND ETF,IG
312,MFA1USD LX EQUITY,RENTA FIJA,RENTA FIJA,United States,MFS MERIDIAN U.S. CORPORATE BOND FUND CLASS A1,IG
313,MFLMIU1 LX EQUITY,RENTA FIJA,RENTA FIJA,United States,MFS MERIDIAN FUNDS LIMITED MATURITY FUND,IG
314,MFMRBAR LX EQUITY,RENTA FIJA,RENTA FIJA,United States,MFS MERIDIAN TOTAL RETURN BOND FUND,IG
315,MIGSDCA LX EQUITY,RENTA FIJA,RENTA FIJA,United States,BGF US DOLLAR RESERVE C,IG
316,NNUSRCU LX EQUITY,RENTA FIJA,RENTA FIJA,United States,NN L-US CREDIT-R CAP USD,IG
317,PBIUIGY ID EQUITY,RENTA FIJA,RENTA FIJA,United States,PINEBRIDGE GLOBAL FUNDS PINEBRIDGE USD INVESTMENT GRADE CREDIT FUND,IG
318,PIMMOIA ID EQUITY,RENTA FIJA,RENTA FIJA,United States,PIMCO FUNDS GLOBAL INVESTORS SERIES PLC MORTGAGE OPPORTUNITIES FUND,IG
319,TREX LN EQUITY,RENTA FIJA,RENTA FIJA,United States,INVESCO US TREASURY BD 7-10 UCITS ETF,IG
320,UBIGIA3 LX EQUITY,RENTA FIJA,RENTA FIJA,United States,UBS LUX BOND SICAV USD INVESTMENT GRADE CORPORATES SUSTAINABLE USD,IG
321,SCSPECU LX EQUITY,ALTERNATIVE,ALTERNATIVE,Global,Schroders Capital Semi-Liquid-Global Private Equity,General
322,CH0432492467,RENTA VARIABLE,RENTA VARIABLE,Swiss,Alcon Rg,Stock
323,CH1425684714,RENTA VARIABLE,RENTA VARIABLE,Swiss,ARYZTA Rg,Stock
324,CH0126673539,RENTA VARIABLE,RENTA VARIABLE,Swiss,DKSH Hldg N,Stock
325,CH0102484968,RENTA VARIABLE,RENTA VARIABLE,Swiss,Julius Baer Grp N,Stock
326,CH0010570759,RENTA VARIABLE,RENTA VARIABLE,Swiss,Lindt & Spruengli N,Stock
327,CH0025751329,RENTA VARIABLE,RENTA VARIABLE,Swiss,Logitech Intl N,Stock
328,CH0013841017,RENTA VARIABLE,RENTA VARIABLE,Swiss,Lonza Grp N,Stock
329,CH0038863350,RENTA VARIABLE,RENTA VARIABLE,Swiss,Nestle N,Stock
330,CH0012005267,RENTA VARIABLE,RENTA VARIABLE,Swiss,Novartis N,Stock
331,CH0012032048,RENTA VARIABLE,RENTA VARIABLE,Swiss,Roche Hldg DR,Stock
332,CH1256740924,RENTA VARIABLE,RENTA VARIABLE,Swiss,SGS Rg,Stock
333,CH0418792922,RENTA VARIABLE,RENTA VARIABLE,Swiss,Sika Rg,Stock
334,CH0126881561,RENTA VARIABLE,RENTA VARIABLE,Swiss,Swiss Re N,Stock
335,CH0008742519,RENTA VARIABLE,RENTA VARIABLE,Swiss,Swisscom Rg,Stock
336,AELCAEC LX EQUITY,,,,,
337,MLATAMD KY EQUITY,,,,,
338,MXAPJ Index,,,,,
339,MXEUG Index,,,,,
340,MXJP Index,,,,,
341,MXLA Index,,,,,
342,SPX Index,,,,,
343,UKX Index,,,,,
344,XLC US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE COMMUNICATION SERVICES SELECT SECTOR SPDR FUND,Sector
345,XAR US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR S&P AEROSPACE & DEFENSE ETF,Sector
346,XLI US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE INDUSTRIAL SELECT SECTOR SPDR FUND,Sector
347,SPYG US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR SERIES TRUST SPDR PORTFOLIO S&P 500 GROWTH ETF,General
348,VTI US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD TOTAL STOCK MARKET ETF,General
349,QQQM US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO EXCHANGE TRADED FUND TRUST II INVESCO NASDAQ 100 ETF,General
350,VUG US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD INDEX FUNDS VANGUARD GROWTH ETF,Sector
351,VOX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD COMMUNICATION SERVICES INDEX FUND ETF,Sector
352,ESGV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD ESG US STOCK ETF,General
353,CSNDX SW EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES NASDAQ 100 USD ACC,General
354,IWF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES RUSSELL 1000 GROWTH ETF,Small Cap
355,IYW US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES DJ TECHNOLOGY,Sector
356,SPYV US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,SPDR SERIES TRUST SPDR PORTFOLIO S&P 500 VALUE ETF,General
357,EQAC SW EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO EQQQ NASDAQ 100 ETF ACC,General
358,MTUM US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES EDGE MSCI United States MOMENTUM FACTOR ETF,General
359,XLK US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE TECHNOLOGY SELECT SECTOR SPDR FUND,Sector
360,RSP US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO EXCHANGE TRADED FUND TRUST INVESCO S&P 500 EQUAL WEIGHT ETF,General
361,JVAL US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JP MORGAN EXCHANGE TRADED FUND TRUST JPMORGAN US VALUE FACTOR ETF,General
362,DFLVX US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,DFA INVESTMENT DIMENSIONS GROUP INC US LARGE CAP VALUE PORTFOLIO,General
363,SIZE US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES EDGE MSCI United States SIZE FACTOR ETF,General
364,VGT US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD WORLD FUNDS VANGUARD INFORMATION TECHNOLOGY ETF,Sector
365,IYJ US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES DJ INDUSTRIAL,Sector
366,LVEEUUC CI EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,LARRAIN VIAL United States - F,Sector
367,VLUE US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES TRUST ISHARES EDGE MSCI United States VALUE FACTOR ETF,General
368,ALLAMSU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,AB SICAV I AMERICAN GROWTH PORTFOLIO,General
369,ISVUF US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES IV PLC ISHARES EDGE MSCI United States VALUE FACTOR UCITS ETF,General
370,VDE US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,VANGUARD WORLD FUNDS VANGUARD ENERGY ETF,Sector
371,XLE US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE ENERGY SELECT SECTOR SPDR FUND,Sector
372,RSPD US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,INVESCO S&P 500 EQUAL WEIGHT,General
373,FLEFAMC LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JPM AMERICA EQUITY D,General
374,XLY US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,THE SELECT SECTOR SPDR TRUST THE CONSUMER DISCRETIONARY SELECT SECTOR SPDR FUND,Sector
375,IEO US EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,ISHARES U.S. OIL & GAS EXPLO,Sector
376,FFUSVCU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JPMORGAN F-JPM US VALUE-D,General
377,XUCD LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI US CONS DISC ETF ETF,Sector
378,XUHC LN EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,XTRACKERS MSCI US HEALTH CARE ETF ETF,Sector
379,FFUSGCU LX EQUITY,RENTA VARIABLE,RENTA VARIABLE,United States,JPMORGAN F-US GROWTH-D,Sector
